iter	RMSE
0	2.140252292
1	2.065867598
2	1.996813268
3	1.929903075
4	1.865242465
5	1.806776743
6	1.752408872
7	1.700772475
8	1.651653387
9	1.605737493
10	1.565133106
11	1.525353121
12	1.486414842
13	1.451959626
14	1.418651812
15	1.385996142
16	1.35843282
17	1.331768182
18	1.306032976
19	1.281216882
20	1.258435573
21	1.235224797
22	1.213554584
23	1.193663505
24	1.175552592
25	1.159495422
26	1.14239874
27	1.126247708
28	1.11230103
29	1.099907705
30	1.086107656
31	1.074706922
32	1.062544729
33	1.052094988
34	1.04126032
35	1.032058487
36	1.02437139
37	1.015198196
38	1.005258288
39	0.9973361056
40	0.9896225127
41	0.9820601352
42	0.9743327738
43	0.9665946272
44	0.9593558879
45	0.9526554212
46	0.9461710768
47	0.9390736161
48	0.9340635718
49	0.9284959073
50	0.9227792114
51	0.9177077391
52	0.9119959438
53	0.9075883097
54	0.9039839289
55	0.8990861027
56	0.8949902605
57	0.8909293538
58	0.8877060806
59	0.884015922
60	0.8796031295
61	0.8746836573
62	0.870730782
63	0.867354789
64	0.864992801
65	0.8615157953
66	0.8593018241
67	0.8561801967
68	0.8530657927
69	0.8501139037
70	0.8468902806
71	0.8445042056
72	0.8428437382
73	0.8410776689
74	0.8391510255
75	0.8367612883
76	0.8335143796
77	0.8314477742
78	0.8281689488
79	0.8257235213
80	0.8237775618
81	0.8213576438
82	0.8202119191
83	0.8176009344
84	0.8152908497
85	0.8133971367
86	0.8112898366
87	0.8099787884
88	0.807962498
89	0.8058050208
90	0.8039670898
91	0.8025897214
92	0.8010733526
93	0.7985011119
94	0.7975375359
95	0.7956190356
96	0.7933791258
97	0.7918712649
98	0.7900747797
99	0.7881693987
100	0.7859519792
101	0.7848405879
102	0.7830460479
103	0.7811126982
104	0.7790747812
105	0.7775026068
106	0.7763785504
107	0.7749291372
108	0.7732632479
109	0.7719053578
110	0.7706679623
111	0.7698976915
112	0.7682714191
113	0.7668602719
114	0.7657448553
115	0.764385003
116	0.7634439102
117	0.7622856155
118	0.7606275024
119	0.7581952751
120	0.7567717343
121	0.7556899129
122	0.7544030137
123	0.7532879844
124	0.7520716551
125	0.7504923338
126	0.7498544942
127	0.7485886819
128	0.7476753919
129	0.7466006558
130	0.7454959864
131	0.7444354905
132	0.7431864901
133	0.7423258135
134	0.7409347579
135	0.7388125263
136	0.7379726286
137	0.737216094
138	0.7362168266
139	0.7343808193
140	0.7323612109
141	0.7311772657
142	0.7304317475
143	0.7295981801
144	0.7284308622
145	0.7274832116
146	0.7261753221
147	0.7250838196
148	0.7240562796
149	0.7231624345
150	0.7224859374
151	0.7218061848
152	0.7211211019
153	0.7199777947
154	0.719288754
155	0.7183191719
156	0.7173183091
157	0.7164433949
158	0.7156998146
159	0.7147611204
160	0.7141459284
161	0.7121961869
162	0.7098552303
163	0.7079762095
164	0.7074702613
165	0.7064844896
166	0.705887794
167	0.7050456781
168	0.7043529451
169	0.7034551123
170	0.7022847523
171	0.7016139214
172	0.7009633664
173	0.7003708401
174	0.6993016729
175	0.6981297793
176	0.6973238514
177	0.6966144986
178	0.6961665629
179	0.6956405731
180	0.6937954708
181	0.6930811273
182	0.6924202514
183	0.6916844429
184	0.6911795634
185	0.6893912259
186	0.688895922
187	0.6868608821
188	0.6852940096
189	0.6847022197
190	0.683905467
191	0.6833546241
192	0.6828719188
193	0.682175055
194	0.6812336108
195	0.6806337166
196	0.6798842567
197	0.6792231294
198	0.6781468908
199	0.6769969627
200	0.6766954365
201	0.6761481898
202	0.6743772863
203	0.673973117
204	0.6735653273
205	0.6729444453
206	0.6724500853
207	0.6714212544
208	0.6709285333
209	0.6693733711
210	0.6687436707
211	0.6680989716
212	0.6675185343
213	0.6669495559
214	0.6663761702
215	0.6648245599
216	0.6632224363
217	0.6624491099
218	0.6610159548
219	0.6605586119
220	0.6598548329
221	0.6593027955
222	0.6588224701
223	0.6583914193
224	0.6576357446
225	0.6571876504
226	0.6568269183
227	0.6562993995
228	0.6559560522
229	0.6554895488
230	0.6541120836
231	0.6537527047
232	0.6528401642
233	0.6523385267
234	0.6508814823
235	0.6503890477
236	0.6500871757
237	0.649454896
238	0.6481283634
239	0.6474790646
240	0.6468010364
241	0.646351845
242	0.6455948327
243	0.645314531
244	0.644980156
245	0.6435699863
246	0.6432402219
247	0.642239205
248	0.6408801845
249	0.6396326178
250	0.6389742585
251	0.637756429
252	0.6373174141
253	0.6361261824
254	0.6357536787
255	0.634606067
256	0.6339490158
257	0.633614373
258	0.6323895458
259	0.6318398742
260	0.6313186255
261	0.6307972289
262	0.6304625417
263	0.6292396682
264	0.6283714789
265	0.6278601864
266	0.6274233981
267	0.6262498102
268	0.6251725641
269	0.6247271878
270	0.624486546
271	0.6232009432
272	0.621980412
273	0.6213790764
274	0.6211482316
275	0.6208785282
276	0.6200832938
277	0.6197692918
278	0.6195518534
279	0.6184954668
280	0.6179109598
281	0.6174219975
282	0.6167968793
283	0.6162266136
284	0.6152472546
285	0.6144933642
286	0.6141972002
